-- Please Select --,-- נא לבחור --
Allowed Scopes,טווח נתונים אפשריים
Critical System Messages,הודעות מערכת קריטיים
Major System Messages,הודעות מערכת משעותיות
System messages,הודעות מערכת
See All (,ראה הכל (
 unread), לא נקרא)
Show Toolbar,הצג את סרגל הכלים
Show List,הצג רשימה
Use HTTPS to Get Feed,השתמש ב- HTTPS כדי לקבל הזנה
Update Frequency,תדירות עדכון
Last Update,עודכן לאחרונה
Severity,חומרה
Date Added,תאריך הוספה
%1 (Default),%1 (ברירת מחדל)
Manage Shopping Cart,נהל את עגלת הקניות
Create Order,צור הזמנה
Add Products,הוסף מוצרים
Update Items and Quantities,עדכון פריטים ומלאים
Are you sure you want to clear your cart?,האם ברצונך לרוקן את הסל שלך?
Clear my shopping cart,רוקן את עגלת הקניות שלי
Add selections to my cart,הוסף מוצרים שנבחרו לסל שלי
Shopping Cart for %1 in %2,עגלת קניות עבור %1 ב %2
Select products you want to buy,בחר מוצרים שאתה רוצה לקנות
%1 has been added to your Wish List.,%1 נוסף למועדפים.
%1 has been updated in your Wish List.,%1 עודכן ב-wishlist.
Products in the Comparison List (%1),מוצרים ברשימת השוואה (%1)
Last ordered items (%1),פריטים אחרון שהוזמן (%1)
%1 items are already present in %2: %3.,%1 פריטים נמצאים כבר ב- %2: %3.
Recently Compared Products (%1),השוואת מוצרים לאחרונה (%1)
Recently Viewed Products (%1),מוצרים שנצפו לאחרונה (%1)
Add to Shopping Cart by SKU,להוסיף לסל באמצעות ברקוד
Add to Shopping Cart,הוסף לעגלת הקניות
Wish List (%1),מועדפים (%1)
Configure,הגדר
Add to Order by SKU,"להוסיף לצוות, לפי ברקוד"
Add to Order,הוסף להזמנה
Add Products to Order,להוסיף מוצרים להזמנה
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span>מוצרים <span id=""sku-attention-num"">%1</span> דורשים תשומת לב.</span>"
Remove All,הסר הכל
Only %1%2%3 left in stock,רק %1%2%3 נשאר במלאי
You can buy up to %1 of these per purchase.,יש באפשרותך לקנות לפחות %1 לרכישה הנוכחית.
You must buy at least %1 of these per purchase.,אתה חייב לקנות לפחות %1 מזה ברכישה הנוכחית.
Specify the product's options.,ציין את אפשרויות של המוצר.
Alert me when this item is available.,שלח לי התראה כאשר פריט זה יהיה זמין.
Shopping cart management is disabled for this customer.,ניהול עגלת הקניות אינה זמינה עבור לקוח זה.
Customers,לקוחות
Account Information,פרטי חשבון
You do not have access to this.,אין לך גישה.
An error has occurred. See error log for details.,אירעה שגיאה. ראה log שגיאות לפרטים.
You cannot configure a product.,אתה לא יכול להגדיר את המוצר.
You removed the items.,הסרת את הפריטים.
You removed the item.,הסרת את הפריט.
%1 was updated in your shopping cart.,%1 התווסף לסל הקניות שלך.
You cannot add a product.,אינך יכול להוסיף מוצר.
Order by SKU,הזמנה באמצעות ברקוד
The SKU was not found in the catalog.,"המק""ט לא נמצא בקטלוג."
Availability: Out of stock.,זמינות: אזל מהמלאי.
We don't have as many of these as you want.,הכמות המבוקשת אינה זמינה.
You can't add this many to your cart.,אינך יכול להוסיף כמות כזאת לסל הקניות.
A total of %1 record(s) have been changed.,"סה""כ %1 הרשומות שונו."
We can't add the item to your cart.,לא ניתן להוסיף את הפריט לסל הקניות.
"Please enter an actual number in the ""Qty"" field.","הזינו את המספר הרצוי אל תוך השדה ""כמות""."
This product is assigned to another website.,מוצר זה רשום לאתר אינטרנט אחר.
You can add only enabled products.,באפשרותך להוסיף מוצרים פעילים בלבד.
You cannot upload this file.,אתם לא יכולים להעלות קובץ.
The file is empty.,הקובץ ריק.
"You have not entered a product SKU. Please <a href=""%1"">click here</a> to add product(s) by SKU.","לא להזין מוצר ברקוד. אנא <a href=""%1""> לחץ כאן</a> כדי להוסיף מוצרים באמצעות ברקוד."
You have not entered a product SKU.,לא להזין מוצר ברקוד.
"We can't add a product to cart by id ""%1"".","לא ניתן להוסיף מוצר לסל הקניות על-ידי id ""%1""."
Something went wrong while reordering this product.,משהו השתבש בעת הסידור מחדש של מוצר הזה.
We can't find this wish list.,איננו מוצאים את זה ברשימת המשאלות.
You added %1 product to your shopping cart.,הוספת %1 המוצר לעגלת הקניות.
You added %1 products to your shopping cart.,הוספת %1 מהמוצרים לסל הקניות שלך.
%1 product requires your attention.,מוצר %1 דורש את תשומת לבך.
%1 products require your attention.,%1 מוצרים דורשים את תשומת לבך.
"Yes, for Specified Customer Groups",". כן, עבור קבוצות הלקוחות המצויינים"
"Yes, for Everyone","כן, עבור כולם"
Please upload the file in .csv format.,בבקשה להעלות את הקובץ בפורמט csv.
%1 item(s) need your attention.,הפריט/ים %1 מצריך את תשומת לבכם.
Apply Coupon Code,אשר את קוד הקופון
Remove Coupon Code,הסר קוד קופון
"The coupon code ""%1"" is not valid.","קוד הקופון ""%1"" אינו תקין."
Shopping Cart Items,פריטים בעגלת הקניות
A total of %1 record(s) have been deleted.,סך של %1 רשומות נמחקו.
Row Subtotal,השורה של סכום ביניים
No ordered items,אין פריטים שהוזמנו
Total %1 product(s),כל %1 מוצרים
Please select,אנא בחר
Move to Wish List,העברה למועדפים
No item specified.,לא צויין פריט.
Are you sure you want to remove this item?,האם אתה בטוח שברצונך להסיר פריט זה?
SKU number,מספר מק״ט
Upload File,העלה קובץ
"Your csv file must include ""sku"" and ""qty"" columns.","בקובץ ה-csv עליך לכלול עמודות ""מק״ט"" ו- ""כמות""."
SKU: ,ברקוד: 
"Only <span id=""%1_max_allowed"">%2</span> in stock","רק <span id=""%1_max_allowed"">%2</span>נותרו במלאי"
Account,חשבון
See price before order confirmation.,ראה מחיר לפני אישור ההזמנה.
What's this?,מה זה?
Incl. Tax,"כולל מע""מ"
Edit item parameters,עריכת אפשרויות הפריט
Remove item,הסר פריט
Products Requiring Attention,מוצרים הדורשים תשומת לב
Add to Cart,הוסף לסל
File,קובץ
File extensions allowed: .csv,מותר סיומצ קבצים : csv
Add Row,הוסף שורה
Remove Row,הסר שורה
Add Products By SKU,להוסיף מוצרים באמצעות מק״ט
Shopping Cart Management,ניהול עגלת קניות
View Shopping Cart,הצג את עגלת הקניות
View and modify Shopping Cart,הצג ושנה את סל קניות
Order by SKU Settings,סדר לפי הגדרות מק״ט
Enable Order by SKU on My Account in Storefront,לאפשר סדר לפי מק״ט על החשבון שלי בתצוגת החנות
Action,פעולה
Apply Coupon,השתמש בקופון
Order by SKU Description,לפי תיאור מק״ט
Display a Link to Loading a Spreadsheet,הצג קישור לטעינת גיליון
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,מגדיר כאשר קישור אל החשבון שלי &gt; הזמנה מאת דף מק״ט יוצגו על הווידגט
Link Text,טקסט לקישור
The text of the link to the My Account &gt; Order by SKU page,הטקסט של הקישור לחשבון שלי &gt; סדר לפי דף מק״ט
Load a list of SKUs,טען את רשימת מק״טים
Order by SKU Template,סדר על-ידי תבנית מק״ט
Please correct the data sent.,נא תקן את הנתונים שנשלחו.
Entity type model '%1' is not found,סוג דגם '%1' לא נמצא
Entity type model must be an instance of \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType,סוג מודל חייב להיות מופע של \Magento\CatalogImportExport\Model\Export\Product\Type\AbstractType
There are no product types available for export,סוגי המוצרים לא זמינים עבור ייצוא
%1 class doesn't implement \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface,מחלקה %1 אינה מממשת את \Magento\AdvancedRule\Model\Condition\FilterTextGeneratorInterface
Sales Rule,חוק מבצע
Index sales rule,אנדקס חוקי מבצע
Related Search Terms,חיפושים קשורים
Add New Search Term,הוסף מונח חיפוש חדש
button_label,תווית הכפתור
Missing search engine parameter.,חסר פרמטר מנוע חיפוש.
Successful! Test again?,הצלחת ! לבדוק שוב?
Connection failed! Test again?,חיבור נכשל! לבדוק שוב?
Enable Search Recommendations,לאפשר חיפוש המלצות
When you enable this option your site may slow down.,כאשר תהפוך אפשרות זו לזמינה האתר שלך עשוי להאט.
Search Recommendations Count,סכום תוצאות חיפוש
Show Results Count for Each Recommendation,הצג מספר תוצאות עבור כל המלצה
Enable Search Suggestions,להפעיל הצעות חיפוש
Search Suggestions Count,סכום תוצאות חיפוש המלצות
Show Results Count for Each Suggestion,הצג מספר תוצאות לכל הצעה
Related search terms,חיפושים קשורים
Search Query,שאילתת החיפוש
Results,תוצאות
Uses,שימושים
Redirect URL,ניתוב מחדש של כתובת URL
Suggested Term,המונח המוצע
"RPC call failed, connection timed out after %time_out.","קריאת RPC נכשלה, החיבור תם לאחר %time_out."
Message has been rejected: %1,ההודעה נדחתה: %1
Error while checking if topic is synchronous,שגיאה בעת בדיקת אם הנושא הוא סינכרוני
Subscription status,סטטוס מינוי
"Sorry, there has been an error processing your request. Please try again later.","מצטערים, אירעה שגיאה בעת עיבוד בקשתך.
נא לנסות שנית."
Cron settings can't be saved,לא ניתן לשמור את הגדרות ה-cron
There was an error save new configuration value.,אירעה שגיאה בעת שמירת ערך תצורה חדשה.
"These arguments can't be empty ""%1""","הארגומנטים האלה לא יכולים להיות ריקים ""%1"""
Cannot find predefined integration user!,לא ניתן למצוא משתמש אינטגרציה מוגדר מראש!
File is not ready yet.,הקובץ עדיין לא מוכן.
Your Base URL has been changed and your reports are being updated. Advanced Reporting will be available once this change has been processed. Please try again later.,"כתובת האתר הבסיסית שלך השתנתה והדו""חות שלך מתעדכנים ברגע זה. הדו""חות המתקדמים יהיו זמינים ברגע ששינוי זה יסתיים. אנא נסה שוב בעוד מספר רגעים."
Failed to synchronize data to the Magento Business Intelligence service. ,סינכרון המידע לשירות Magento Business Intelligence נכשל. 
TestMessage,הודעת בדיקה
Apps and Games,אפליקציות ומשחקים
Athletic/Sporting Goods,מוצרי אתלטיקה\ספורט
Art and Design,אמנות ועיצוב
Advanced Reporting,"דו""חות מתקדמים"
Go to Advanced Reporting,"עבור לדו""חות המתקדמים"
Actions,פעולות
Configuration,הגדרות תצורה
Business Intelligence,אינטליגנציה עסקית
BI Essentials,יסודות BI
Advanced Reporting Service,"שירות הדו""חות המתקדמים"
Time of day to send data,זמן ביום לשליחת הנתונים
Industry,תעשייה
Auto Parts,חלקי חילוף לרכב
Beauty and Cosmetics,יופי וקוסמטיקה
"Books, Music and Magazines","ספרים, מוזיקה ומגזינים"
Consumer Electronics,מוצרי אלקטרוניקה
Fashion Apparel and Accessories,אופנה ואביזרים
"Food, Beverage and Grocery","אוכל, משקאות ומצרכים"
Home Goods and Furniture,מוצרי בית וריהוט
Home Improvement,שיפוץ הבית
Jewelry and Watches,תכשיטים ושעונים
Office Supplies,ציוד משרדי
Outdoor and Camping Gear,ציוד מחנאות וטבע
Pet Goods,מוצרים לחיות מחמד
Pharma and Medical Devices,מרקחת וציוד רפואי
Technology B2B,טכנולוגיית B2B
Done,בוצע
Retry,נסה שנית
Action Details - #' .,פרטי פעולה - #'.
"%1 item(s) have been scheduled for update.""","%1 פריטים תוזמנו עבור עדכון."""
Bulk Actions Log,לוג פעולות מרובות
%1 item(s) are currently being updated.,%1 פריט(ים) מתעדכנ(ים) כעת.
"Task ""%1"": ","משימה ""%1"": "
%1 item(s) have been scheduled for update.,%1 פריטים תוזמנו עבור עדכון.
%1 item(s) have been successfully updated.,%1 פריטים עודכנו בהצלחה.
%1 item(s) failed to update,%1 פריטים לא עודכנו
Dismiss,לדחות
"Pending, in queue...","ממתין, בתור..."
%1 items selected for mass update,%1 פריטים נבחרו לעדכון המוני
", %1 successfully updated",", %1 עודכן בהצלחה"
", %1 failed to update",", %1 עדכונים נכשלו"
Action Log,יומן פעילות
Bulk Actions,פעולות גורפות
Days Saved in Log,ימים שנשמרו ביומן
Description of Operation,תיאור הפעולה
Active,פעיל
Items to Retry,פריטים לנסיון החוזר
"To retry, select the items and click “Retry”.","כדי לנסות שנית, בחר פריטים ולחץ על ""נסה שנית""."
Items That Can’t Be Updated.,פריטים שלא ניתן לעדכן.
Meta Information,מידע
Add,הוספה
Dismiss All Completed Tasks,העלם את כל המשימות שהושלמו
Action Details - #,פרטי פעולה - #
Number of Records Affected,מספר רשומות שהושפעו
Something went wrong while compiling a list of allowed resources. You can find out more in the exceptions log.,אירע שיבוש במהלך הקומפילציה של רשימת המשאבים המותרים. פרטים נוספים ניתן למצוא ב-exceptions log.
You created the order.,יצרת את ההזמנה.
Order saving error: %1,שגיאה בשמירת ההזמנה: %1
Please choose a payment method.,אנא בחר שיטת תשלום.
We can't process your order right now. Please try again later.,לנו אין לעבד את ההזמנה שלך עכשיו. נא נסה שוב מאוחר יותר.
An error occurred on the server. Please try to place the order again.,אירעה שגיאה בעת שמירה. נא סקור את דוח השגיאות.
Credit Card: xxxx-%1,כרטיס אשראי: xxxx-%1
amount %1,כמות %1
failed.,נכשל.
successful.,עבר בהצלחה.
Authorize.Net Transaction ID %1.,Authorize.Net טרנזקציה ל- id %1.
authorize,מאושר
authorize and capture,אושר ונקלט
capture,לכידה
refund,החזר
void,ריק
Gateway error: %1,שגיאה בשער: %1
Something went wrong in the payment gateway.,משהו השתבש בהתקשרות עם שיטת התשלום.
Invalid amount for capture.,כמות לא חוקית עבור לכידה.
Payment capturing error.,שגיאת לכידת תשלום.
Invalid transaction ID.,ID טרנזקציה לא חוקית.
Payment voiding error.,שגיאת תשלום ריק.
Invalid amount for refund.,כמות לא תקינה עבור זיכוי.
Payment refunding error.,שגיאה בקבלת זיכוי.
The transaction was declined because the response hash validation failed.,הטרנזקציה נדחתה מכיוון התגובת האימות של ה-hash נכשלה.
This payment didn't work out because we can't find this order.,לא ניתן היה לעבד את התשלום שלך כי לא נמצאה הזמנה.
There was a payment authorization error.,אירעה שגיאה באישור התשלום.
Please enter a transaction ID to authorize this payment.,הזינו בבקשה את מזהה הטרנזקציה כדי לאשר את התשלום.
Something went wrong: the paid amount doesn't match the order amount. Please correct this and try again.,תקלה: התשלום ששולם לא תואם את סכום ההזמנה. אנא תקן ונסה שנית.
"Transaction %1 has been approved. Amount %2. Transaction status is ""%3""","%1 העסקה אושרה. כמות %2. מצב הטרנזקציה הוא ""%3"""
"Transaction %1 has been voided/declined. Transaction status is ""%2"". Amount %3.","עסקת %1 כבר בוטל/נדחה. מצב טרנזקציה היא ""%2"". כמות %3."
Authorize Only,מורשים בלבד
Authorize and Capture,אושר ונקלט
Unable to get transaction details. Try again later.,אין אפשרות לקבל את פרטי העסקה. נסה שוב מאוחר יותר.
Credit Card Type,סוג כרטיס אשראי
Please Select,נא לבחור
Credit Card Number,מספר כרטיס אשראי
Expiration Date,תאריך תפוגה
Card Verification Number,קוד אימות לכרטיס
Fraud Detection ,זוהתה הונאה 
FDS Filter Action,פעולת סינון FDS
AVS Response,תגובת AVS
Card Code Response,תגובת כרטיס קוד
CAVV Response,תגובה CAVV
Fraud Filters,מסנני הונאה
Place Order,ביצוע הזמנה
"Sorry, but something went wrong. Please contact the seller.","מצטערת, אבל משהו השתבש. אנא צרו קשר עם המוכר."
Authorize.net Direct Post,פוסט ישיר של Authorize.net
Payment Action,פעולת תשלום
API Login ID,מזהה התחברות API
Transaction Key,מזהה העברה
Merchant MD5,סוחר MD5
New Order Status,סטטוס הזמנה חדשה
Test Mode,מצב בדיקה
Gateway URL,כתובת gateway
Transaction Details URL,כתובת פרטי הטרנזקציה URL
Accepted Currency,המטבע המקובל
Debug,דיבאג
Email Customer,דואר אלקטרוני של לקוח
Merchant's Email,דואל אלקטרוני של הסוחר
Credit Card Types,סוג כרטיסי אשראי
Credit Card Verification,אימות כרטיס האשראי
Payment from Applicable Countries,תשלום ממדינות מאושרות
Payment from Specific Countries,תשלום ממדינות ספציפיות
Minimum Order Total,סך הזמנה מינימלי
Maximum Order Total,סך ההזמנה המרבי
Add Gift Card,הוספת כרטיס מתנה
Cannot place order.,לא ניתן להזמין.
Unable to place order. Please try again later.,אין אפשרות להזמין. נא נסה שוב מאוחר יותר.
Environment,סביבה
Transaction has been declined. Please try again later.,"העסקה נדחתה, בבקשה נסה שוב מאוחר יותר."
options,אפשרויות
Deselect all,בטל בחירה של הכל
%s of %s selected,%s מתוך %s נבחר
B2B Features,תכונות B2B
Invalid Form Key. Please refresh the page.,מפתח לא חוקי. אנא רעננו את הדף.
You entered an invalid Secret Key. Please refresh the page.,הזנת מפתח סודי לא חוקי. אנא רענן את הדף.
Cache Storage Management,ניהול אחסון הCache
Flush Magento Cache,נקה Cache של מגנטו
The cache storage may contain additional data. Are you sure that you want to flush it?,האחסון בcache יכול להכיל נתונים נוספים. האם אתה בטוח כי ברצונך לנקות את הcache?
Flush Cache Storage,מחיקת Cache
Invalidated,מבוטל
Add New,הוסף חדש
Add Option,הוסף אפשרות
Most Viewed Products,המוצרים הנצפים ביותר
New Customers,לקוחות חדשים
Add Price,הוסף מחיר
Address Book,ספר כתובות
Average Order,הזמנה הממוצעת
Average,ממוצע
Views,צפיות
Add to Compare,הוסף להשוואה
"Images (.gif, .jpg, .png)","תמונות (.gif,. jpg,. png)"
"Media (.avi, .flv, .swf)","מדיה (.avi, .flv, .swf)"
All Files,כל הקבצים
Reset to Default,אפס לברירת המחדל
Add to Wish List,הוספה לווישליסט
What is this?,מה זה?
Save Account,שמירת חשבון
My Account,החשבון שלי
User Name,שם משתמש
Alert subscription has been saved.,ההתראה נשמרה בהצלחה
All,הכל
User Email,דוא״ל של משתמש
New Password,סיסמה חדשה
Password Confirmation,אמת סיסמה
Interface Locale,ממשק אזורי
Current User Identity Verification,אימות זהות המשתמש הנוכחי
Your Password,הסיסמה שלך
Save Cache Settings,שמירת הגדרות Cache
Catalog Rewrites,קטלוג Rewrites
Images Cache,Cache של תמונות
Clear,נקה
Search Index,אינדקס חיפוש
Rebuild,בנה מחדש
Inventory Stock Status,מצב מלאי
Rebuild Catalog Index,בנה מחדש אינדקס קטלוג
Rebuild Flat Catalog Category,בנה מחדש טבלת קטגוריות שטוחה
Rebuild Flat Catalog Product,בנה מחדש טבלת מוצרים שטוחה
Cache Control,בקרת מטמון
All Cache,כל הcache
No change,אין שינוי
All Groups,כל הקבוצות
Add Design Change,הוסף שינויי עיצוב
ALL GROUPS,כל הקבוצות
Edit Design Change,ערוך שינוי עיצוב
New Store Design Change,שינוי עיצוב חנות חדש
All Store Views,כל תצוגות החנויות
Custom Design,עיצוב מותאם
Date From,תאריך מ
Date To,תאריך ל
Design Change,שינוי עיצובי
Delete %1 '%2',מחק %1 '%2'
Block Information,בלוק מידע
Backup Options,אפשרויות גיבוי
Create DB Backup,ליצור גיבוי ל-DB
Delete Store,מחק חנות
Delete Web Site,מחק אתר אינטרנט
Save Web Site,שמור אתר האינטרנט
Save Store,שמור חנות
Save Store View,שמור תצוגת חנות
Delete Store View,מחק תצוגת חנות
Edit Web Site,ערוך אתר
New Web Site,אתר אינטרנט חדש
Edit Store,ערוך חנות
New Store,חנות חדשה
Edit Store View,ערוך תצוגת חנות
New Store View,תצוגה חדשה של החנות
Store Information,מידע על חנות
All Websites,כל האתרים
Root Category,קטגורייה ראשית
Default Store View,תצוגת חנות ברירת מחדל
Store View Information,מידע על תצוגת החנות
Web Site Information,מידע על האתר
Default Store,חנות ברירת מחדל
Set as Default,קבע כברירת מחדל
Allow Message,אפשר הודעה
Create Website,צור אתר אינטרנט
Create Store,צור חנות
Create Store View,צור תצוגת חנות
Home,דף הבית
Add New Image,הוסף תמונה חדשה
Export block for grid %1 is not defined,ייצוא בלוק עבור תצוגת רשת %1 לא מוגדר
Reset Filter,איפוס מסנן
Search,חפש
Any,כל
All Countries,כל המדינות
From,מ-
To,ל-
Date selector,בחירת תאריך
[ deleted ],[נמחק]
Select All,בחר הכל
 [deleted], [נמחק]
We couldn't find any records.,לא הצלחנו למצוא רשומות.
Amount,סכום
Invalid export type supplied for grid export block,סוג ייצוא לא חוקי סופק עבור גריד בלוק ייצוא
Export,ייצוא
Please correct the column format and try again.,נא תקן את פורמט העמודה ונסה שוב.
Unknown block type,סוג בלוק לא ידוע
Please correct the tab configuration and try again. Tab Id should be not empty,אנא תקן את ההגדרות של הלשונית ונסה שוב. המזהה של הלשונית לא יכול להיות ריק
Please correct the tab configuration and try again.,נא לתקן את הקונפיגורציה של הלשונית ונסה שוב.
You have logged out.,התנתקת.
The image cache was cleaned.,נוקה Cache של תמונה.
An error occurred while clearing the image cache.,אירעה שגיאה בעת ניקוי הcache של התמונה.
The JavaScript/CSS cache has been cleaned.,הChace של ה JavaScript/CSS נוקה.
An error occurred while clearing the JavaScript/CSS cache.,אירעה שגיאה בעת ניקוי הCache של JavaScript/CSS.
The static files cache has been cleaned.,ה-cache של קבצים סטטיים נוקה.
You flushed the cache storage.,אה מחקת את ה- cache.
The Magento cache storage has been flushed.,הcache של מג'נטו נוקה.
Cache Management,ניהול Cache
%1 cache type(s) disabled.,cache מסוג %1 ללא זמין.
An error occurred while disabling cache.,אירעה שגיאה בעת נטרול הcache.
%1 cache type(s) enabled.,%1 סוגי מטמון הופעלו.
An error occurred while enabling cache.,אירעה שגיאה בעת הפעלת מטמון.
%1 cache type(s) refreshed.,%1 סוגי המטמון התרעננו.
An error occurred while refreshing cache.,אירעה שגיאה בעת רענון הcache.
We updated lifetime statistic.,אנחנו מתעדכנים סטטיסטיקה לכל החיים.
We can't refresh lifetime statistics.,איננו יכולים לרענן את הסטטיסטיקות.
invalid request,הבקשה לא תקינה
see error log for details,ראה log שגיאות לפרטים נוספים
Service unavailable: %1,השירות אינו זמין: %1
Access Denied.,הגישה נדחתה.
You need more permissions to do this.,את צריך הרשאה יותר גבוהה על מנת לבצע זאת.
No search modules were registered,מודולי חיפוש לא נרשמו
Please make sure that all global admin search modules are installed and activated.,נא ודא כי כל המודולים בחיפוש גלובלי על ידי המנהל מותקנים ומופעלים.
You saved the account.,שמרת את החשבון.
An error occurred while saving account.,אירעה שגיאה בעת שמירת חשבון.
You deleted the design change.,מחקת את שינויי העיצוב.
You can't delete the design change.,לא ניתן למחוק את שינויי העיצוב.
Store Design,עיצוב חנות
Edit Store Design Change,ערוך שינויי עיצוב לחנות
You saved the design change.,שמרת את שינויי העיצוב.
System,מערכת
Manage Stores,ניהול חנויות
The database was backed up.,הDB שוחזר.
We can't create a backup right now. Please try again later.,אנחנו לא יכולים ליצור גיבוי ברגע זה. אנא נא נסה שוב מאוחר יותר.
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","מחיקה של %1 לא ימחק את המידע המשויך ל-%1 (למשל, קטגוריות, מוצרים, וכו '), אבל %1 לא תהיה אפשרות לשחזור. אנו מציעים ליצור גיבוי של מסד הנתונים לפני מחיקת את %1."
Something went wrong. Please try again.,"התהליך השתבש, אנא נסה שנית."
This store cannot be deleted.,לא ניתן למחוק את החנות שנבחרה.
You deleted the store.,מחקת את החנות.
Unable to delete the store. Please try again later.,"אין אפשרות למחוק את החנות.. אנא, נסה שוב מאוחר יותר."
This store view cannot be deleted.,לא ניתן למחוק את תצוגת החנות.
You deleted the store view.,מחקת את תצוגת החנות.
Unable to delete the store view. Please try again later.,"אין אפשרות למחוק את תצוגת החנות.. אנא, נסה שוב מאוחר יותר."
This website cannot be deleted.,אין אפשרות למחור את אתר האינטרנט הנוכחי.
You deleted the website.,מחקת את אתר האינטרנט.
Unable to delete the website. Please try again later.,אין אפשרות למחוק את האתר. אנא נסה שוב מאוחר יותר.
The website does not exist.,אתר אינטרנט זה אינו קיים.
Before modifying the website code please make sure it is not used in index.php.,לפני שאתה משנה את הקוד באתר אנא ודא שהוא לא בשימוש ב- index. php.
The store does not exist,החנות אינה קיימת
Store view doesn't exist,תצוגת חנות אינה קיימת
Before modifying the store view code please make sure it is not used in index.php.,"לפני שאתה משנה את הקוד באתר האיטרנט , אנא ודא שהוא לא בשימוש ב- index. php."
New ,חדש 
All Stores,כל החנויות
You saved the website.,שמרת את אתר האינטרנט.
The default store cannot be disabled,לא ניתן לבטל את החנות ברירת המחדל
You saved the store view.,שמרת את תצוגת החנות.
An inactive store view cannot be saved as default store view,לא ניתן לשמור תצוגה של החנות לא פעילה כברירת המחדל של תצוגת החנות
You saved the store.,שמרת את החנות.
Something went wrong while saving. Please review the error log.,"תהליך השמירה השתבש, אנא בדוק את ה-Error Log."
Authentication storage is incorrect.,אחסון האימות אינו נכון.
Last 24 Hours,יממה אחרונה
Last 7 Days,7 ימים אחרונים
Current Month,החודש הנוכחי
YTD,שנה אחת
2YTD,שנתיים
Order #%1,הזמנה #%1
"Sorry, you need permissions to view this content.",". מצטער, אתה צריך הרשאות להצגת תוכן זה."
Next steps,השלבים הבאים
"If you think this is an error, try signing out and signing in again.","אם אתה חושב שזו שגיאה, נסה לצאת ולהיכנס שוב."
Contact a system administrator or store owner to gain permissions.,פנה אל מנהל מערכת או בעל החנות כדי לקבל הרשאות.
previous page,דף קודם
"Welcome, please sign in","ברוכים הבאים, נא להתחבר"
Username,שם משתמש
user name,שם משתמש
password,סיסמה
Sign in,התחברות
No Data Found,לא נמצאו נתונים
